English,Reference,marian_translation,mbart_translation,mt5_translation
This really is a must for our nation.,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।,यह वास्तव में हमारी जाति के लिए एक होना चाहिए.,This really is a must for our nation.,<extra_id_0>
"""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.","""यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है"" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं, जो वर्ष 2025 तक कैलीफोर्निया में मोटर-चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है।","""यह कोई बात नहीं है जो हम करने के लिए चुन सकते हैं"" है कि क्या हम कोई भी करने के लिए चुन सकते हैं, कहा. है कि अमेरिका के अधिकारी, जो राज्य के लिए योजना है 2025 द्वारा हर मोटर - गाड़ी के द्वारा हर सड़क की मीलों पार शुरू करने के लिए योजना बना रहा है.","""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.",<extra_id_0> to translate English to Hindi
There is going to be a change in how we pay these taxes.,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।,हम इन कर का भुगतान कैसे कर रहे हैं में एक परिवर्तन होने जा रहा है.,There is going to be a change in how we pay these taxes.,<extra_id_0>
The technology is there to do it.,ऐसा करने के लिए प्रौद्योगिकी है।,प्रौद्योगिकी यह करने के लिए है.,The technology is there to do it.,<extra_id_0>
"The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.","ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है, जिसका वित्त-पोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है।","धक्का देश के उच्चवे पर भरोसा निधि के रूप में आता है, कर अमरीकी भुगतान के साथ गैस पंप पर भुगतान, टूट गया है.","The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.",<extra_id_0>
Americans don't buy as much gas as they used to.,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।,अमरीकी उतना गैस नहीं खरीदते जितना वे इस्तेमाल करते थे।,Americans don't buy as much gas as they used to.,<extra_id_0>
Cars get many more miles to the gallon.,अब एक गैलन गैस में कार पहले से अधिक मील चलती है।,झूठ बोलने के लिए कार को और अधिक मील मिलता है.,Cars get many more miles to the gallon.,<extra_id_0>
"The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.","फेडरल टैक्स में पिछले 20 वर्षों में कोई बढ़ोतरी नहीं हुई, जो 18.4 सेंट प्रति गैलन है।","संघीय कर अपने आप, 184 सेंट प्रति सेंट, 20 साल में नहीं चला गया है.","The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.",<extra_id_0>
Politicians are loath to raise the tax even one penny when gas prices are high.,गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं।,"जब गैस की कीमत बहुत ऊँची होती है, तो कर को भी बढ़ाने की कोशिश की जाती है ।",Politicians are loath to raise the tax even one penny when gas prices are high,<extra_id_0>
"""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.","मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं, ""गैस कर बिल्कुल संवहनीय नहीं है।""",""" गैस करदाता नहीं है,"" ली एमननीच ने कहा, एक परिवहन नीति विशेषज्ञ, मिना के विश्‍वविद्यालय में एक यातायात नीति विशेषज्ञ.","""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.",<extra_id_0> to Hindi
His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,उनके राज्य ने प्रति-मील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में 500 कारों में ट्रैकिंग डिवाइस लगाई है।,हाल ही में उसकी स्थिति 500 कारों पर ट्रैकिंग उपकरणों को एक भुगतान से बाहर परीक्षण के लिए डाल दिया।,His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,<extra_id_0>
"""This works out as the most logical alternative over the long term,"" he said.","वे कहते हैं, ""दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।""","""यह लंबे समय पर सबसे तर्कसंगत विकल्प के रूप में काम करता है,"" उन्होंने कहा.","""This works out as the most logical alternative over the long term,"" he said.",<extra_id_0>
Wonks call it a mileage-based user fee.,वॉन्क्स इसे माइलेज-आधारित उपयोगकर्ता शुल्क कहते हैं।,यह एक मील की दूरी पर उपयोक्ता कैश कॉल करता है.,Wonks call it a mileage-based user fee.,<extra_id_0>
"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है, क्योंकि इससे, उदाहरण के लिए कार चलाने के तौर-तरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है, जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।","यह कोई आश्‍चर्य की बात नहीं कि यह विचार शहरी उदारियों को आकर्षक लगता है, क्योंकि करों को ऐसे तरीक़ों से बदलने के लिए सख़्त किया जा सकता है जो प्रदूषण और ग्रीनहाउस गैसों को कम करने में मदद कर सकते हैं ।","It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.",<extra_id_0> -
California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,कैलीफोर्निया के योजनाकार इस सिस्टम के लिए उत्सुक हैं जबकि वे राज्य के महात्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्य पूर्ण करने के लिए रणनीतियाँ विकसित कर रहे हैं।,कैलिफ़ोर्निक योजना प्रणाली की ओर देख रहे हैं जब वे राज्य के बढ़तेव में लक्ष्यों को पूरा करने के लिए योजना बना रहे हैं.,California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,<extra_id_0>
"But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.","लेकिन गृह परिवहन समिति के अध्यक्ष, रिप. बिल शुस्टर (आ.-पी.ए.) भी ब्लैक बॉक्स को सबसे व्यवहार्य दीर्घकालिक विकल्प मानते हैं।","लेकिन वापस. बिल्स्टर (RP-Pa), हाउस व्यवस्था समिति के अध्यक्ष ने भी कहा है, यह एक लंबे समय से व्यवहारात्मक विकल्प के रूप में देखा है.","But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.",<extra_id_0>
The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।,कारण आधार पर मुक्‍त बाज़ारी ड्राइवरों को प्रति मील का भुगतान करने के लिए भी ख़ुशी होती है ।,The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,<extra_id_0>
"""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.","रीजन में पॉलिसी के उपाध्यक्ष, एड्रियन मूर ने कहा, ""यह मात्र ऐसा कर नहीं है जो अंधे कुएँ में जा रहा है।""","""यह सिर्फ एक कर के लिए एक ब्लैक होल में नहीं जा रहा है,"" एटीएन ने कहा, तर्क में संघीय राष्ट्रपति.","""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.",<extra_id_0>.
People are paying more directly into what they are getting.,"लोग जो चीज प्राप्त कर रहे हैं, उसके लिए अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं।","लोग सीधे - सीधे जो कर रहे हैं, उसमें ज़्यादा पैसा दे रहे हैं ।",People are paying more directly into what they are getting.,<extra_id_0>
"The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.","इस अभियान को दो भूतपूर्व अमेरिकी परिवहन सचिवों ने भी समर्थन दिया है, जिन्होंने वर्ष 2011 में अपनी रिपोर्ट में कांग्रेस से प्रति-मील भुगतान की दिशा में आगे बढ़ने का अनुग्रह किया था।","सन्‌ 2011 के एक रिपोर्ट में, जो एक कानून के मुताबिक कानून तैयार किया गया था, इस अभियान में भी दो भूतपूर्व यू.एस.एस.","The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.",<extra_id_0>.
"The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.","यू.एस. सीनेट ने पिछले वर्ष 90-मिलियन डॉलर की परीक्षण परियोजना स्वीकृत की थी, जिसमें 10,000 कारें शामिल हो गई होतीं।","U.S.CP एक $90-000 पायलट परियोजना है कि पिछले साल के बारे में 10,000 कारों में शामिल होगा.","The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.",<extra_id_0>
"But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","लेकिन ग्रामीण विधि-निर्माताओं की चिंताओं पर काम करते हुए, जो ऐसे व्यक्तियों का प्रतिनिधि कर रहे थे जिन्हें रोजाना काम पर जाने अथवा शहर में जाने के लिए बहुत अधिक मील चलना पड़ता है, सदन के नेतृत्व ने उस प्रस्ताव को वहीं पर समाप्त कर दिया।","लेकिन घर - मालिक ने इस प्रस्ताव को मार डाला, और गाँवों में रहनेवाले कानूनों की चिंता करते हुए, जिनके रोज़मर्रा की ज़िंदगी में अकसर बहुत - सी किलोमीटर की दूरी पर काम करने या शहर जाने के लिए लॉगिंग होती थी ।","But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.",<extra_id_0>.
Several states and cities are nonetheless moving ahead on their own.,फिर भी बहुत से राज्य और शहर खुद-ब-खुद इस दिशा में आगे बढ़ रहे हैं।,बहुत - से देश और शहर अपने ही बलबूते पर आगे बढ़ रहे हैं ।,Several states and cities are nonetheless moving ahead on their own.,<extra_id_0>
"The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.","इसमें सबसे अधिक इच्छुक ऑरेगोन है, जिसने देश के सबसे बड़े प्रयोग में 5,000 चालक सूचीबद्ध किए हैं।","सबसे उत्सुक व्यक्ति है, जो देश की सबसे बड़ी प्रयोग में 5,000 ड्राइवरों को भर्ती कर रहा है.","The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.",<extra_id_0>
Those drivers will soon pay the mileage fees instead of gas taxes to the state.,ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।,वे ड्राइवर जल्द ही गैस कर देने के बजाय मीलों डॉलर का भुगतान करेंगे ।,Those drivers will soon pay the mileage fees instead of gas taxes to the state.,<extra_id_0>
Nevada has already completed a pilot.,नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।,नेवाडा पहले ही एक पायलट पूरा हो चुका है.,Nevada has already completed a pilot.,<extra_id_0>
New York City is looking into one.,न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।,न्यू यॉर्क शहर एक में देख रहा है.,New York City is looking into one.,<extra_id_0>
Illinois is trying it on a limited basis with trucks.,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,यह ट्रकों के साथ एक सीमित आधार पर कोशिश कर रहा है.,Illinois is trying it on a limited basis with trucks.,<extra_id_0>
"And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.","तथा आई-95 गठबंधन, जिसमें पूर्वी सीबोर्ड के साथ के 17 राज्य परिवहन विभाग (मेरीलैंड, पेनसिलवेनिया, वर्जीनिया तथा फ्लोरिडा समेत) शामिल हैं, इस बात का अध्ययन कर रहे हैं कि वे इस परिवर्तन का किस तरह क्रियान्वयन कर सकते हैं।","और I-95 कोलिटन, जिसमें पूर्वी सागर के बीच १७ परिवहन विभाग शामिल हैं (यानी मेरीलैंड, वर्जिनिया और फ्लोरिडा शामिल हैं) अध्ययन कर रहा है कि वे परिवर्तन को लागू करने के बारे में कैसे जा सकते हैं.","And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.",<extra_id_0> -
The concept is not a universal hit.,इस विचार को सभी जगहों पर समर्थन नहीं मिला।,धारणा एक विश्‍वव्यापी हिट नहीं है ।,The concept is not a universal hit.,<extra_id_0>
"In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","नेवाडा में, जहाँ कुछ ही समय पहले 50 स्वैच्छिक कार चालकों की कारों पर इस डिवाइस को लगाया गया था, चालक इस बात को सोच कर बहुत अधीर थे कि सरकार उनके प्रत्येक कदम को मॉनीटर कर सकती है।","नवाडा में, जहाँ 50 स्वयंसेवकों की कारों को लंबी उम्र नहीं हुई उपकरणों के साथ सुसज्जित किया गया था, चालकों को अपने हर कदम पर निगरानी रखने के बारे में परेशान कर रहे थे.","In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.",<extra_id_0>
"""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.","नेवाडा परिवहन विभाग में रणनीतिक तथा कार्य-निष्पादन प्रबन्धन को निर्देशित करने वाले, अलाउद्दीन खान कहते हैं ""बिग ब्रदर तथा उसी प्रकार की अन्य चीजों के बारे में चिंता प्रमुख समस्या थी।""","“ बिग भाई और उन चीज़ों के बारे में के बारे में एक बड़ी समस्या थी, ” अलॉडिन खान ने कहा, जो नेनेडा के नेनेडा विभाग में बड़ी मुश्‍किल का काम करता है ।","""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.",<extra_id_0>
It was not something people wanted.,"यह ऐसी चीज नहीं है, जिसे लोग चाहते थे।",ऐसा कुछ नहीं था जो लोग चाहते थे ।,It was not something people wanted.,<extra_id_0>
"As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""","परीक्षण के आगे बढ़ने के साथ ही, नेवाडा के ए.सी.एल.यू. ने अपनी वेबसाइट पर चेतावनी दी थीः ""इन डिवाइस को पूर्ण ट्रैकिंग डिवाइस में परिवर्तित करना काफी हद आसान होगा।""","परीक्षण के तहत मिल गया, नेवाडा के प्रमाण ने इसके वेबसाइट पर चेतावनी दी: ""यह काफी आसान होगा इन उपकरणों को पूर्ण रूप से ट्रैकिंग उपकरणों में बदलने के लिए।","As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""",<extra_id_0> English to Hindi:
"There is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals' everyday comings and goings.","विशाल, अप्रबंधनीय प्रौद्योगिकी ढाँचा-संरचना विकसित करने की कोई आवश्यकता नहीं है, जिसे प्रत्येक व्यक्ति के रोजाना आने-जाने का रिकॉर्ड रखने के लिए अवश्यंभावी रूप से फैलाना पड़े।","किसी के दैनिक आगमन और जाड़े के रिकॉर्ड रखने के लिए एक विशाल, अनियंकृत प्रौद्योगिकी का निर्माण करने की ज़रूरत नहीं है.","There is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals' everyday comings and goings.",<extra_id_0>.
"Nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.","नेवाडा उन बहुत से राज्यों में से है, जो वहनीय प्रौद्योगिकी प्राप्त करने के लिए हरसंभव प्रयास कर रहा है, जिसकी सहायता से राज्य इस बात का विवरण प्राप्त कर सके कि कार कितने मील प्रतिदिन चल रही है, लेकिन यह नहीं कि वह कहां और किस समय चल रही है।",नवाडा अब बहुत - से देशों में है ।,"Nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.",<extra_id_0>
"If you can do that, Khan said, the public gets more comfortable.","खान ने कहा कि यदि आप ऐसा कर सकते हैं, तो लोग अधिक सहज महसूस कर सकते हैं।","अगर आप ऐसा कर सकते हैं, खान ने कहा, तो आम जनता को ज़्यादा आराम मिलता है ।","If you can do that, Khan said, the public gets more comfortable.",<extra_id_0>
The hunt for that technology has led some state agencies to a small California startup called True Mileage.,इस प्रौद्योगिकी की तलाश ने कुछ राज्य एजेन्सियों को ट्रू माइलेज नामक छोटे कैलीफोर्निया स्टार्ट-अप के पास पहुंचाया।,"इस तकनीक के शिकार ने कुछ राज्य एजेन्सियाँ एक छोटे से कैलिफोर्निया की ओर ले गयी हैं, जिसे सच्चा मीलोम कहा जाता है ।",The hunt for that technology has led some state agencies to a small California startup called True Mileage.,<extra_id_0>
The firm was not originally in the business of helping states tax drivers.,यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी।,यह पक्का इरादा शुरू में कर देने के लिए नहीं था ।,The firm was not originally in the business of helping states tax drivers.,<extra_id_0>
"It was seeking to break into an emerging market in auto insurance, in which drivers would pay based on their mileage.","यह ऑटो बीमा के उभरते हुए बाजार में प्रवेश करने का प्रयास कर रही थी, जिसमें चालकों को अपनी माइलेज के आधार पर भुगतान करना था।","वह ऑटो बीमा में एक निकासी बाज़ार में घुसना चाहता था, जिसमें ड्राइवर अपने मीलों पर आधारित भुगतान करते ।",It was seeking to break into an emerging market in auto insurance.,<extra_id_0>
"But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","लेकिन यह जिस डिवाइस का परीक्षण कर रही है, वह हाईवे योजनाकारों को अच्छी लगी, क्योंकि उसमें जी.पी.एस. का उपयोग नहीं होता तथा बहुत सीमित सूचना प्रदान करती है, जो निश्चित समय अन्तराल पर मॉडम द्वारा अपलोड होती है।","लेकिन यह उपकरणों के लिए परीक्षण किया जा रहा है सड़क योजना असफलों के लिए निवेदन क्योंकि वे जीपीएस का उपयोग नहीं करते और कुछ हद तक जानकारी का उपयोग नहीं करते हैं, मोड द्वारा समय पर अपलोड करें.","But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.",<extra_id_0>
"""People will be more willing to do this if you do not track their speed and you do not track their location,"" said Ryan Morrison, chief executive of True Mileage.","ट्रू माइलेज के मुख्य अधिशासी रेयान मॉरिसन ने कहा, ""यदि आप लोगों की गति और उनके स्थान को ट्रैक नहीं करते तो वे इस तरीके को अपनाने में अधिक इच्छुक होंगे।""","""लोग ऐसा करने के लिए और अधिक तैयार हो जाएगा अगर आप उनकी गति ट्रैक नहीं करते हैं और आप उनके स्थान पर ट्रैक नहीं करते हैं,"" रायन ने कहा, सच Mrocrap के प्रधान अधिकारी. ""","""People will be more willing to do this if you do not track their speed and you do not track their location,"" said Ryan Morrison, chief executive of True Mileage.",<extra_id_0> -
There have been some big mistakes in some of these state pilot programs.,राज्य के इन प्रारंभिक कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।,इनमें से कुछ राज्य पायलट प्रोग्रामों में कुछ बड़ी गलतियाँ हुई हैं ।,There have been some big mistakes in some of these state pilot programs.,<extra_id_0>.
There are a lot less expensive and less intrusive ways to do this.,ऐसा करने के लिए बहुत कम खर्चीले तथा कम हस्तक्षेप करने वाले तरीके भी हैं।,ऐसा करने के लिए बहुत कम महँगी और कम महँगी तरीके हैं ।,There are a lot less expensive and less intrusive ways to do this.,<extra_id_0>
"In Oregon, planners are experimenting with giving drivers different choices.","ऑरेगॉन में, योजनाकार चालकों को भिन्न-भिन्न विकल्प देने का प्रयोग कर रहे हैं।","एक बार जब ड्राइवरों को पता चला कि वे क्या कर रहे हैं, तो उन्हें क्या करना चाहिए ।","In Oregon, planners are experimenting with giving drivers different choices.",<extra_id_0>
They can choose a device with or without GPS.,वे जी.पी.एस. युक्त या बिना जी.पी.एस. की डिवाइस चुन सकते हैं।,वे बिना जीपीएस के उपकरण चुन सकते हैं.,They can choose a device with or without GPS.,<extra_id_0>
"Or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.","या फिर से कोई भी डिवाइस न लेना चुन सकते हैं, बल्कि राज्य के निवासियों द्वारा तय किए जाने वाले औसत मीलों के आधार पर निर्धारित शुल्क देना चुन सकते हैं।","या वे यह चुनाव कर सकते हैं कि वे कोई उपकरण न रखें, न ही हर राष्ट्र के लोगों की औसत मीलों पर आधारित एक फ्लैट का भुगतान करने के बजाय ।","Or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.",<extra_id_0>.
"Other places are hoping to sell the concept to a wary public by having the devices do more, not less.",अन्य स्थानों को आशा है कि डिवाइस में कम की बजाय और अधिक सुविधा प्रदान करके चिंतित नागरिकों को यह अवधारण बेची जा सकती है।,कुछ और जगहों पर इस धारणा को आम तौर पर बेचने की उम्मीद कर रहे हैं ।,"Other places are hoping to sell the concept to a wary public by having the devices do more, not less.",<extra_id_0>
